"set","field","value","rows","np_rows","pp_rows","share","np_rate","rate_min_n","rate_reportable"
"all_released","SpeakerHighestQual","Graduate",663,536,127,0.360522022838499,0.808446455505279,25,TRUE
"all_released","SpeakerHighestQual","Postgraduate",563,428,135,0.306144643828167,0.760213143872114,25,TRUE
"all_released","SpeakerHighestQual","College/6th Form",373,318,55,0.202827623708537,0.85254691689008,25,TRUE
"all_released","SpeakerHighestQual","Secondary School",224,178,46,0.121805328983143,0.794642857142857,25,TRUE
"all_released","SpeakerHighestQual","(missing)",16,14,2,0.00870038064165307,NA,25,FALSE
"core_complete","SpeakerHighestQual","Graduate",589,492,97,0.363355953115361,0.835314091680815,25,TRUE
"core_complete","SpeakerHighestQual","Postgraduate",476,367,109,0.293645897594078,0.771008403361345,25,TRUE
"core_complete","SpeakerHighestQual","College/6th Form",339,290,49,0.209130166563849,0.855457227138643,25,TRUE
"core_complete","SpeakerHighestQual","Secondary School",203,166,37,0.125231338679827,0.817733990147783,25,TRUE
"core_complete","SpeakerHighestQual","(missing)",14,13,1,0.00863664404688464,NA,25,FALSE
"all_released","SpeakerSocGrade","E",624,499,125,0.33931484502447,0.799679487179487,25,TRUE
"all_released","SpeakerSocGrade","B",611,499,112,0.332245785753127,0.816693944353519,25,TRUE
"all_released","SpeakerSocGrade","A",308,238,70,0.167482327351822,0.772727272727273,25,TRUE
"all_released","SpeakerSocGrade","C1",203,162,41,0.110386079390973,0.798029556650246,25,TRUE
"all_released","SpeakerSocGrade","C2",57,45,12,0.0309951060358891,0.789473684210526,25,TRUE
"all_released","SpeakerSocGrade","D",34,29,5,0.0184883088635128,0.852941176470588,25,TRUE
"all_released","SpeakerSocGrade","(missing)",2,2,0,0.00108754758020663,NA,25,FALSE
"core_complete","SpeakerSocGrade","E",552,455,97,0.340530536705737,0.824275362318841,25,TRUE
"core_complete","SpeakerSocGrade","B",541,449,92,0.333744602097471,0.829944547134935,25,TRUE
"core_complete","SpeakerSocGrade","A",268,211,57,0.16533004318322,0.787313432835821,25,TRUE
"core_complete","SpeakerSocGrade","C1",175,144,31,0.107958050586058,0.822857142857143,25,TRUE
"core_complete","SpeakerSocGrade","C2",52,41,11,0.0320789636027144,0.788461538461538,25,TRUE
"core_complete","SpeakerSocGrade","D",31,26,5,0.0191239975323874,0.838709677419355,25,TRUE
"core_complete","SpeakerSocGrade","(missing)",2,2,0,0.00123380629241209,NA,25,FALSE
