"coding","Verb","n_items","production_np_prob","human_do_preference","raw_production_minus_DAIS","calibrated_preference","preference_residual","residual_lo","residual_hi"
"something_nonpronominal","offer",25,0.189090394714301,0.468179544899545,-0.279089150185244,0.387652599429159,0.0805269454703861,0.0341235546305602,0.128554334259413
"something_nonpronominal","sell",25,0.282694299688702,0.351495846375846,-0.068801546687144,0.419408170776082,-0.0679123244002356,-0.116239843922558,-0.0238247018498363
"something_nonpronominal","give",25,0.48678154288216,0.449088764568765,0.037692778313396,0.488645741729977,-0.0395569771612122,-0.0934732434810406,0.0133738132994436
"something_nonpronominal","send",25,0.242926049876258,0.428325502275502,-0.185399452399245,0.405916602292836,0.022408899982666,-0.0152631095515496,0.0647894313836147
"something_nonpronominal","lend",25,0.253881759513289,0.426098124098124,-0.172216364584835,0.409633379056905,0.0164647450412193,-0.0276254038689913,0.0667846824730269
"something_nonpronominal","show",25,0.602125073358219,0.515845295815296,0.086279777542923,0.52777658474812,-0.0119312889328241,-0.0723915400425616,0.05455049889512
"something_pronominal","offer",25,0.149659543213663,0.468179544899545,-0.318520001685882,0.391391720264834,0.0767878246347104,0.0270735969403227,0.128945861467032
"something_pronominal","sell",25,0.231450290751041,0.351495846375846,-0.120045555624806,0.421178465602502,-0.0696826192266552,-0.119321047096692,-0.0268378953137301
"something_pronominal","give",25,0.407964841234378,0.449088764568765,-0.0411239233343866,0.485461946582268,-0.0363731820135038,-0.0768248379339513,0.00663911502327875
"something_pronominal","send",25,0.196238374907986,0.428325502275502,-0.232087127367516,0.408354907906209,0.0199705943692929,-0.0199519618659575,0.062211324533816
"something_pronominal","lend",25,0.204385594345466,0.426098124098124,-0.221712529752658,0.411321981296551,0.0147761428015731,-0.0329347860165084,0.0657382948711822
"something_pronominal","show",25,0.5064377940673,0.515845295815296,-0.0094075017479953,0.521324056380714,-0.00547876056541781,-0.0656832761523795,0.054540740521391
