"model","train_rows","test_rows","train_log_loss","train_brier","train_accuracy","train_auc","test_log_loss","test_brier","test_accuracy","test_auc","df","aic"
"hierarchical_verb_intercept",2637,626,0.19780605084543,0.059741417098685,0.916951080773606,0.96821833840443,0.232597023591262,0.0716192490269861,0.900958466453674,0.952220285813872,19,1199.98893567894
"scrambled_hierarchical_verb_intercept",2637,626,0.573886152440648,0.193007213370909,0.735305271141449,0.549010582065313,0.542386934364136,0.178977585204929,0.758785942492013,0.626371558034158,19,3064.67556797197
"fake_null_hierarchical",2637,626,0.572541795771701,0.19229439075139,0.738718240424725,0.537543623321005,0.572689813306703,0.191275285379459,0.749201277955272,0.449166813792729,19,3057.58543089994
"fake_verb_hierarchical",2637,626,0.61233084483166,0.21291120339784,0.653394008342814,0.679373321147002,0.639081372565367,0.224683786646416,0.608626198083067,0.626739875871941,19,3355.62381460318
