"group","term","source_estimate","source_std_error","source_z_value","source_p_value","native_estimate","native_std_error","native_z_value","native_p_value","source_direction","native_direction","same_direction","source_training_rows","native_training_rows"
"intercept","(Intercept)",0.923277410749215,0.592950780698515,1.5570894597045,0.119449247183493,0.138586368078977,0.591804140787148,0.234176070303674,0.814848291694661,1,1,TRUE,1564,1621
"verb","Verbsend",-2.08033533610003,0.340747299994792,-6.10521443935676,1.02662751330037e-09,-0.712920618490351,0.228672236940603,-3.11765270689826,0.0018229747902844,-1,-1,TRUE,1564,1621
"verb","Verbshow",0.699306564603687,0.55762856838103,1.25407234179912,0.209815712311503,0.50427232145251,0.307647499913465,1.63912374257665,0.101187491262236,1,1,TRUE,1564,1621
"verb","Verbsell",-1.67237757067567,0.379122631564661,-4.41117841943033,1.02809557460899e-05,-1.81825246467868,0.423485365593079,-4.29354261659614,1.7584454268751e-05,-1,-1,TRUE,1564,1621
"verb","Verboffer",-2.76194843079166,0.692913789067155,-3.98599143842984,6.71989348988438e-05,-0.028883359888423,0.581963383535413,-0.0496308886530924,0.960416531370453,-1,-1,TRUE,1564,1621
"verb","Verblend",-1.9304281650163,3.21204107044634,-0.600997348003415,0.547841752661577,-0.463445324269687,0.719216186366119,-0.644375548068894,0.519331936615028,-1,-1,TRUE,1564,1621
"length","rec_len_words",-0.434344429205059,0.101641165896799,-4.27331215037485,1.92590543105919e-05,-0.989816990006493,0.277872973884021,-3.56212040405061,0.000367871589857174,-1,-1,TRUE,1564,1621
"length","theme_len_words",0.251240626458466,0.0497170664008048,5.0534081080536,4.33995170058599e-07,1.05564438301799,0.16375974906934,6.44629946624432,1.14614091565131e-10,1,1,TRUE,1564,1621
"animacy","rec_animyes",0.398813812974398,0.516506936554579,0.772136412406642,0.440033638024111,-0.182947206832407,0.275584066311453,-0.663852628640902,0.506784637874389,1,-1,FALSE,1564,1621
"pronominality","rec_pronyes",3.43366766746062,0.324220237086068,10.5905408567977,3.29681434205618e-26,2.62196974700377,0.311227610596188,8.42460520125807,3.61968653118995e-17,1,1,TRUE,1564,1621
"animacy","theme_animyes",-1.65435222012926,0.645002947655288,-2.5648754414893,0.0103212849392693,-2.09803569737288,1.01025651863925,-2.0767356197798,0.0378259671243777,-1,-1,TRUE,1564,1621
"definiteness","theme_defyes",-2.14825762131923,0.257062309718727,-8.35695292580935,6.4358966697911e-17,0.51115887990061,0.274642895960167,1.86117641278712,0.0627192681560148,-1,1,FALSE,1564,1621
"pronominality","theme_pronyes",-3.44909752846728,0.285328446926818,-12.0881656407429,1.21979804516663e-33,-2.79109854067033,0.236650919279968,-11.7941588782436,4.18359650292163e-32,-1,-1,TRUE,1564,1621
