"model","group","n","observed","predicted","sim_q05","sim_q50","sim_q95"
"hierarchical_verb_intercept","spoken",440,0.806818181818182,0.7966676529419,0.779431818181818,0.795454545454545,0.815909090909091
"hierarchical_verb_intercept","written",186,0.645161290322581,0.645865438390776,0.612903225806452,0.645161290322581,0.682795698924731
