"coding","recipient_id","theme_type","n_items","production_np_prob","human_do_preference","production_minus_DAIS","abs_gap"
"something_nonpronominal","longDefinite","def",12,0.0386019595398347,0.279404063529064,-0.240802103989229,0.240925503580429
"something_nonpronominal","longDefinite","indef",12,0.185717870489006,0.373835618085618,-0.188117747596612,0.286137652398865
"something_nonpronominal","longDefinite","something",6,0.155627169219308,0.246645946645947,-0.0910187774266382,0.193697720114686
"something_nonpronominal","longIndefinite","def",12,0.0378007858667487,0.242090051152551,-0.204289265285802,0.204289265285802
"something_nonpronominal","longIndefinite","indef",12,0.20271462964046,0.318445286195286,-0.115730656554826,0.197048379422751
"something_nonpronominal","longIndefinite","something",6,0.188295470902948,0.311473665223665,-0.123178194320718,0.214803499279816
"something_nonpronominal","pronoun","def",12,0.739222650138427,0.619172554297554,0.120050095840873,0.189118194508663
"something_nonpronominal","pronoun","indef",12,0.953540073538411,0.704789562289562,0.248750511248849,0.248750511248849
"something_nonpronominal","pronoun","something",6,0.941517860750171,0.596502178377178,0.345015682372993,0.345015682372993
"something_nonpronominal","shortDefinite","def",12,0.127239406690569,0.47927577052577,-0.352036363835201,0.352036363835201
"something_nonpronominal","shortDefinite","indef",12,0.425055024508245,0.613433982683983,-0.188378958175737,0.288690886411848
"something_nonpronominal","shortDefinite","something",6,0.381549418021874,0.44993549043549,-0.0683860724136165,0.244882003139751
"something_nonpronominal","shortIndefinite","def",12,0.127239406690569,0.392133237133237,-0.264893830442668,0.264893830442668
"something_nonpronominal","shortIndefinite","indef",12,0.425055024508245,0.462042314167314,-0.036987289659069,0.226357418953381
"something_nonpronominal","shortIndefinite","something",6,0.381549418021874,0.422168997668998,-0.0406195796471237,0.314282010539758
"something_pronominal","longDefinite","def",12,0.0386019595398347,0.279404063529064,-0.240802103989229,0.240925503580429
"something_pronominal","longDefinite","indef",12,0.185717870489006,0.373835618085618,-0.188117747596612,0.286137652398865
"something_pronominal","longDefinite","something",6,0.00677596545296157,0.246645946645947,-0.239869981192985,0.239869981192985
"something_pronominal","longIndefinite","def",12,0.0378007858667487,0.242090051152551,-0.204289265285802,0.204289265285802
"something_pronominal","longIndefinite","indef",12,0.20271462964046,0.318445286195286,-0.115730656554826,0.197048379422751
"something_pronominal","longIndefinite","something",6,0.0116347755552958,0.311473665223665,-0.299838889668369,0.299838889668369
"something_pronominal","pronoun","def",12,0.739222650138427,0.619172554297554,0.120050095840873,0.189118194508663
"something_pronominal","pronoun","indef",12,0.953540073538411,0.704789562289562,0.248750511248849,0.248750511248849
"something_pronominal","pronoun","something",6,0.455076893826322,0.596502178377178,-0.141425284550856,0.279468245861922
"something_pronominal","shortDefinite","def",12,0.127239406690569,0.47927577052577,-0.352036363835201,0.352036363835201
"something_pronominal","shortDefinite","indef",12,0.425055024508245,0.613433982683983,-0.188378958175737,0.288690886411848
"something_pronominal","shortDefinite","something",6,0.0346869312218482,0.44993549043549,-0.415248559213642,0.415248559213642
"something_pronominal","shortIndefinite","def",12,0.127239406690569,0.392133237133237,-0.264893830442668,0.264893830442668
"something_pronominal","shortIndefinite","indef",12,0.425055024508245,0.462042314167314,-0.036987289659069,0.226357418953381
"something_pronominal","shortIndefinite","something",6,0.0346869312218482,0.422168997668998,-0.38748206644715,0.38748206644715
