"evaluation","rows","log_loss","brier","accuracy","auc"
"reduced_common_complete_case",1621,0.562127702480089,0.176394224964503,0.766810610734115,0.509647806242033
"reduced_common_all_rows",1839,0.586055998505444,0.185510778804111,0.753126699293094,0.523072991208342
