"evaluation","formula","rows","np_rate","mean_prediction","log_loss","brier","accuracy","auc"
"source_marginal_all_rows","intercept-only marginal probability",1839,0.801522566612289,0.811381074168798,0.498597837105777,0.15918133199478,0.801522566612289,0.5
"source_verb_only_all_rows","y_np ~ Verb",1839,0.801522566612289,0.757540387705148,0.468821910988991,0.147805676124143,0.826536160957042,0.659800933068159
"source_theme_only_all_rows","y_np ~ theme_anim + theme_def",1839,0.801522566612289,0.835750438027806,0.644689506330614,0.203023815568728,0.797716150081566,0.415402130071932
"source_verb_theme_all_rows","y_np ~ Verb + theme_anim + theme_def",1839,0.801522566612289,0.810339653714635,0.586055998505444,0.185510778804111,0.753126699293094,0.523072991208342
