"model","term","estimate","std_error","z_value","p_value"
"hierarchical_verb_intercept","(Intercept)",-1.70499769531302,0.734291124332354,-2.32196418942591,0.0202348639541192
"hierarchical_verb_intercept","Modalitywritten",-0.0882418404585904,0.232152094274557,-0.380103572764804,0.703868533797851
"hierarchical_verb_intercept","SemanticClassc",-0.299679847616888,0.426199008017776,-0.703145342854457,0.481965177166725
"hierarchical_verb_intercept","SemanticClassf",0.0214184343445558,0.669312354260256,0.0320006559093446,0.974471527826571
"hierarchical_verb_intercept","SemanticClassp",3.94386515962577,1.4839526973371,2.65767579162253,0.00786815439173233
"hierarchical_verb_intercept","SemanticClasst",-0.327738124869338,0.240154073107274,-1.36469942245344,0.17234754125279
"hierarchical_verb_intercept","LengthOfRecipient",-0.378111039243331,0.0569555616812999,-6.63870266716158,3.1645601460622e-11
"hierarchical_verb_intercept","AnimacyOfRecinanimate",-2.41744053389672,0.305725265190165,-7.90723178338905,2.63175352029991e-15
"hierarchical_verb_intercept","DefinOfRecindefinite",-0.761761498574298,0.234800087367396,-3.2442981904958,0.00117740416738354
"hierarchical_verb_intercept","PronomOfRecpronominal",1.74032843272388,0.267123923256904,6.51506016947097,7.26605264721842e-11
"hierarchical_verb_intercept","LengthOfTheme",0.234573731761838,0.0311252128520694,7.53645389918168,4.82923583871978e-14
"hierarchical_verb_intercept","AnimacyOfThemeinanimate",1.02891380998224,0.553205619822343,1.85991207087279,0.062897967260948
"hierarchical_verb_intercept","DefinOfThemeindefinite",0.917322088751466,0.22567875809545,4.06472499446975,4.80891295288669e-05
"hierarchical_verb_intercept","PronomOfThemepronominal",-2.68705616692998,0.299827378838324,-8.96201066540664,3.18811011932567e-19
"hierarchical_verb_intercept","AccessOfRecgiven",1.37499895569374,0.25876489525025,5.31369973644989,1.07421570138047e-07
"hierarchical_verb_intercept","AccessOfRecnew",-0.459875867212374,0.2836062744905,-1.62152924168742,0.104904183913297
"hierarchical_verb_intercept","AccessOfThemegiven",-1.47362125528467,0.312649906066288,-4.71332703670229,2.43704592898022e-06
"hierarchical_verb_intercept","AccessOfThemenew",0.524613161868338,0.220586555748768,2.37826444176333,0.0173943465939533
"scrambled_hierarchical_verb_intercept","(Intercept)",1.11824197042701,0.361449933284853,3.09376726193983,0.00197632456911352
"scrambled_hierarchical_verb_intercept","Modalitywritten",-0.119867763858902,0.136759704597565,-0.876484518679166,0.380766688930067
"scrambled_hierarchical_verb_intercept","SemanticClassc",-0.129055243816432,0.148742702177056,-0.867640845080325,0.385590978874067
"scrambled_hierarchical_verb_intercept","SemanticClassf",0.106993684683878,0.340722153886268,0.314020334350175,0.753505594789129
"scrambled_hierarchical_verb_intercept","SemanticClassp",-0.0703601433629792,0.189485840063212,-0.371321378629174,0.710398176550436
"scrambled_hierarchical_verb_intercept","SemanticClasst",-0.105009114265384,0.114078842011894,-0.920495969396642,0.357313638342874
"scrambled_hierarchical_verb_intercept","LengthOfRecipient",-0.00320025620227752,0.0279299576767126,-0.114581491290473,0.908776850882824
"scrambled_hierarchical_verb_intercept","AnimacyOfRecinanimate",-0.25141869870079,0.175400034461618,-1.43340164939253,0.151743087316787
"scrambled_hierarchical_verb_intercept","DefinOfRecindefinite",0.110197419264423,0.154944668280576,0.711204977152722,0.476957224791898
"scrambled_hierarchical_verb_intercept","PronomOfRecpronominal",-0.405272962855314,0.157930798380734,-2.56614268407798,0.010283651640117
"scrambled_hierarchical_verb_intercept","LengthOfTheme",-0.0112857187529676,0.0110387672145229,-1.02237129687088,0.306605200262663
"scrambled_hierarchical_verb_intercept","AnimacyOfThemeinanimate",-0.214690456233304,0.312704794145084,-0.686559529156737,0.492360339097646
"scrambled_hierarchical_verb_intercept","DefinOfThemeindefinite",0.271463664970117,0.119923584941111,2.26363867544005,0.0235963470801055
"scrambled_hierarchical_verb_intercept","PronomOfThemepronominal",-0.059356363615484,0.171258027824859,-0.346590255472206,0.728899167669888
"scrambled_hierarchical_verb_intercept","AccessOfRecgiven",0.439704718727652,0.168880862089446,2.60363852533371,0.00922399837791565
"scrambled_hierarchical_verb_intercept","AccessOfRecnew",0.18595005488766,0.186899294962606,0.994921114736488,0.319774632583089
"scrambled_hierarchical_verb_intercept","AccessOfThemegiven",0.023501368704197,0.178281352815459,0.131821799268729,0.895125243694559
"scrambled_hierarchical_verb_intercept","AccessOfThemenew",-0.000133861452195123,0.109671873011387,-0.00122056319929199,0.999026131709608
"fake_null_hierarchical","(Intercept)",0.62086611802769,0.350373705330659,1.77201116574019,0.0763927037584184
"fake_null_hierarchical","Modalitywritten",-0.0235153956449316,0.137115920229914,-0.171500111770401,0.863830542563825
"fake_null_hierarchical","SemanticClassc",0.0643724531760568,0.151543676439319,0.42477822030293,0.670998356151527
"fake_null_hierarchical","SemanticClassf",-0.114937202957271,0.317848450958722,-0.361610077414529,0.717643432925552
"fake_null_hierarchical","SemanticClassp",0.00189230623875545,0.185956550476054,0.0101760665806668,0.991880813712604
