"coding","Verb","n_items","production_np_prob","human_do_preference","gap_production_minus_human","abs_gap"
"something_nonpronominal","give",25,0.48678154288216,0.449088764568765,0.037692778313396,0.198810065400411
"something_nonpronominal","lend",25,0.253881759513289,0.426098124098124,-0.172216364584835,0.258333719703808
"something_nonpronominal","offer",25,0.189090394714301,0.468179544899545,-0.279089150185244,0.322088814094606
"something_nonpronominal","sell",25,0.282694299688702,0.351495846375846,-0.068801546687144,0.180150090921987
"something_nonpronominal","send",25,0.242926049876258,0.428325502275502,-0.185399452399245,0.279677565376641
"something_nonpronominal","show",25,0.602125073358219,0.515845295815296,0.086279777542923,0.275142207132287
"something_pronominal","give",25,0.407964841234378,0.449088764568765,-0.0411239233343866,0.184142634750613
"something_pronominal","lend",25,0.204385594345466,0.426098124098124,-0.221712529752658,0.28507473505237
"something_pronominal","offer",25,0.149659543213663,0.468179544899545,-0.318520001685882,0.346463884911534
"something_pronominal","sell",25,0.231450290751041,0.351495846375846,-0.120045555624806,0.193498620880175
"something_pronominal","send",25,0.196238374907986,0.428325502275502,-0.232087127367516,0.2991232622619
"something_pronominal","show",25,0.5064377940673,0.515845295815296,-0.0094075017479953,0.280113763238044
