"family","native_oof_log_loss","native_oof_auc","source_fold_auc","native_minus_source_auc"
"marginal",0.47298438070456,0.5,0.5,0
"verb_only",0.439172348386792,0.624639993526583,0.647117809544102,-0.022477816017519
"nonverb",0.234461150603916,0.92813259189404,0.89947668296268,0.0286559089313609
"full_core",0.227031301740094,0.938748994072884,0.906423717527039,0.0323252765458453
