"variable","rows","missing_rows","missing_share","observed_rows","np_rate_missing","np_rate_observed"
"rec_len_words",1839,31,0.0168569874932028,1808,0.806451612903226,0.801438053097345
"theme_len_words",1839,34,0.0184883088635128,1805,0.852941176470588,0.800554016620499
"rec_anim",1839,31,0.0168569874932028,1808,0.806451612903226,0.801438053097345
"rec_pron",1839,112,0.0609026644915715,1727,0.357142857142857,0.830341632889404
"theme_anim",1839,0,0,1839,NA,0.801522566612289
"theme_def",1839,0,0,1839,NA,0.801522566612289
"theme_pron",1839,139,0.0755845568243611,1700,0.949640287769784,0.789411764705882
