"repeat_id","fold","family","n","native_log_loss","native_auc","source_auc"
1,1,"marginal",165,0.530241525394345,0.5,0.5
1,1,"verb_only",165,0.51670836978454,0.560831180017227,0.613372093023256
1,1,"nonverb",165,0.324680249295599,0.875,0.864664082687339
1,1,"full_core",165,0.309563202766015,0.906653746770026,0.877583979328165
1,2,"marginal",165,0.455923446154872,0.5,0.5
1,2,"verb_only",165,0.435362869874916,0.614181438998957,0.624087591240876
1,2,"nonverb",165,0.142121220089857,0.983055265901981,0.96089676746611
1,2,"full_core",165,0.149327452564648,0.984619395203337,0.954640250260688
1,3,"marginal",164,0.403823108899213,0.5,0.5
1,3,"verb_only",164,0.352083787471079,0.668053777208707,0.708386683738796
1,3,"nonverb",164,0.141187556098556,0.983354673495519,0.94910371318822
1,3,"full_core",164,0.137751171575396,0.984475032010243,0.944462227912932
1,4,"marginal",163,0.496251535498538,0.5,0.5
1,4,"verb_only",163,0.431053349804124,0.651598282442748,0.651598282442748
1,4,"nonverb",163,0.243957442050295,0.929270038167939,0.933325381679389
1,4,"full_core",163,0.223033529323685,0.938692748091603,0.932490458015267
1,5,"marginal",163,0.449881356653597,0.5,0.5
1,5,"verb_only",163,0.431940245633168,0.603485838779956,0.629084967320261
1,5,"nonverb",163,0.195680288772388,0.950299564270152,0.896650326797386
1,5,"full_core",163,0.193059940034942,0.954520697167756,0.904139433551198
1,6,"marginal",162,0.498112756781258,0.5,0.5
1,6,"verb_only",162,0.488495285318452,0.565865384615385,0.596153846153846
1,6,"nonverb",162,0.216460033032488,0.950961538461538,0.920192307692308
1,6,"full_core",162,0.229074208438982,0.947235576923077,0.904927884615385
1,7,"marginal",160,0.473284665379839,0.5,0.5
1,7,"verb_only",160,0.404595162918261,0.725848907607265,0.738747038694393
1,7,"nonverb",160,0.256113073559252,0.904711766254277,0.889181363516715
1,7,"full_core",160,0.227143532590923,0.928928665438273,0.911292445380363
1,8,"marginal",160,0.540945707600981,0.5,0.5
1,8,"verb_only",160,0.525667717507456,0.593413978494624,0.626344086021505
1,8,"nonverb",160,0.297238073270409,0.903113799283154,0.884968637992832
1,8,"full_core",160,0.276235468882579,0.927755376344086,0.894825268817204
1,9,"marginal",160,0.399610905299233,0.5,0.5
1,9,"verb_only",160,0.370411328654694,0.619390202124015,0.634121274409044
1,9,"nonverb",160,0.204679878353485,0.909900650907845,0.840698869475848
1,9,"full_core",160,0.213387330785426,0.916923603973964,0.857656731757451
1,10,"marginal",159,0.484560716008577,0.5,0.5
1,10,"verb_only",159,0.433332170606342,0.657364341085271,0.663049095607235
1,10,"nonverb",159,0.331872821929503,0.898837209302326,0.846124031007752
1,10,"full_core",159,0.313491403066213,0.906976744186046,0.875710594315245
2,1,"marginal",165,0.465004160464005,0.5,0.5
2,1,"verb_only",165,0.46403267352801,0.520030425963489,0.656947261663286
