"metric","value"
"figshare_article_id","7353164"
"dataset_file_id","16713434"
"dataset_md5","1c041dbcb635855f3d8f4be9f3e1fced"
"downloaded_md5","1c041dbcb635855f3d8f4be9f3e1fced"
"released_rows","1839"
"core_complete_rows","1621"
"core_incomplete_rows","218"
"released_np_rate","0.801522566612289"
"core_complete_np_rate","0.819247378161629"
"core_incomplete_np_rate","0.669724770642202"
"metadata_fields_audited","8"
"minimum_rows_for_np_rate","25"
