"model","formula","term","estimate","std_error","z_value","p_value"
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","Verbsend",-0.715461981760009,0.228889098508759,-3.12580191202347,0.00177320949699609
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","Verbshow",0.502578629823798,0.307705664313888,1.63330964655601,0.102403888968693
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","Verbsell",-1.8197397862805,0.423657670995693,-4.29530706243012,1.74451701616953e-05
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","Verboffer",-0.0339179086909592,0.581717916092416,-0.0583064536138006,0.953504527022346
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","Verblend",-0.469196525374435,0.719558505618434,-0.652061676306887,0.514361385550367
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","rec_len_words",-0.959635881982903,0.296777811157834,-3.23351627346744,0.0012227636951312
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","theme_len_words",1.05669845485802,0.163857760397127,6.44887646637545,1.12682360740228e-10
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","rec_animyes",-0.172720930841676,0.277936435304392,-0.62144040471885,0.534309894326073
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","rec_pronyes",2.60606438727405,0.316486922878586,8.23435092853366,1.80533759980013e-16
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","theme_animyes",-2.10023677713491,1.01101836478726,-2.07734780127049,0.0377694701911551
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","theme_defyes",0.513992963698845,0.274871829235746,1.86993685430752,0.0614925872057461
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","theme_pronyes",-2.79199016187529,0.236702378478694,-11.7953616681828,4.12424966713874e-32
"bnc2014_native_plus_rec_def_proxy_full","plus_rec_def_proxy","rec_defyes",-0.151714101404937,0.552343673570789,-0.274673375770083,0.783567187727713
