"id","name","size","mimetype","download_url","supplied_md5","computed_md5"
16709726,"combine_data.py",12360,"text/plain","https://ndownloader.figshare.com/files/16709726","a1e6e66c226398df306b04940229cb5c","a1e6e66c226398df306b04940229cb5c"
16713434,"BNCspoken2014_dative_dataset_v1.csv",859613,"text/plain","https://ndownloader.figshare.com/files/16713434","1c041dbcb635855f3d8f4be9f3e1fced","1c041dbcb635855f3d8f4be9f3e1fced"
16713599,"r_cleaning_data_script.rmd",11216,"text/plain","https://ndownloader.figshare.com/files/16713599","408cb68ab044a2e113488680f526489c","408cb68ab044a2e113488680f526489c"
16713602,"animacy_recipient.txt",4167,"text/plain","https://ndownloader.figshare.com/files/16713602","09ad0f49bf7665881fd224406024e727","09ad0f49bf7665881fd224406024e727"
