"evaluation","rows","np_rate","mean_prediction","log_loss","auc","accuracy"
"core complete-case",1621,0.819247378161629,0.787809025055263,0.307962323123653,0.905933889140178,0.858729179518816
"all rows with median/mode imputation",1839,0.801522566612289,0.791805710683047,0.361754372738017,0.872472630620249,0.846112017400761
"all rows with median/no imputation",1839,0.801522566612289,0.769674243895026,0.311520364111903,0.910501663537852,0.858075040783034
"all rows with median/yes imputation",1839,0.801522566612289,0.764637375126109,0.408296990531538,0.855894871842531,0.816748232735182
