"model_a","model_b","n","mean_log_loss_a_minus_b","log_loss_diff_lo","log_loss_diff_hi","auc_a_minus_b","auc_diff_lo","auc_diff_hi","bootstrap","B"
"source_full_core","source_marginal",1621,-0.164774852434241,-0.197663244912161,-0.13307414339119,0.405933889140178,0.389795256769318,0.421303029255508,"paired row bootstrap",2000
"source_full_core","source_verb_only",1621,-0.14785674678728,-0.176441515096183,-0.118795642329726,0.260389253258769,0.225789838621098,0.294688073265347,"paired row bootstrap",2000
"source_full_core","source_nonverb",1621,0.0119185184260989,-0.00619271490059983,0.0302188257677601,0.00681180352810562,-0.00506198371964847,0.0187590141507007,"paired row bootstrap",2000
"source_nonverb","source_marginal",1621,-0.17669337086034,-0.206618192180155,-0.149116048523534,0.399122085612073,0.379810354062777,0.417113576895317,"paired row bootstrap",2000
"source_verb_only","source_marginal",1621,-0.0169181056469614,-0.0329093070087622,-0.000878209379544029,0.14554463588141,0.109587195340324,0.180890834775183,"paired row bootstrap",2000
"native_oof_full_core","source_full_core",1621,-0.0814240987547702,-0.103635404773018,-0.0589526679239231,0.0303427875323821,0.0171209900777099,0.0431268544340796,"paired row bootstrap",2000
"native_oof_full_core","native_oof_marginal",1621,-0.246426572515596,-0.276175542760793,-0.218368217091535,0.541046866647477,0.503757048285178,0.578733947100547,"paired row bootstrap",2000
"native_oof_full_core","native_oof_verb_only",1621,-0.212481927106406,-0.24231954202583,-0.182450312221542,0.397964297462889,0.352494519518191,0.443758087341229,"paired row bootstrap",2000
"native_oof_full_core","native_oof_nonverb",1621,-0.00765824494197651,-0.0158808984763339,0.000372586330646033,0.0165688350672314,0.00834689607193787,0.0252288870100346,"paired row bootstrap",2000
